"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 8:30:54 PM GMT+1","8","7","9","9","7","9","5","7","5","5","6","7","7","6","7","8","2","Yes"
"2019/09/15 8:31:48 PM GMT+1","8","6","7","6","8","8","4","7","4","6","5","6","6","7","8","10","5","Yes"
"2019/09/15 8:31:51 PM GMT+1","7","5","7","6","6","7","6","6","5","5","6","","","7","10","9","6","Yes"
"2019/09/15 8:31:55 PM GMT+1","7","6","7","5","7","6","2","6","2","3","6","6","3","4","10","6","3","Yes"
"2019/09/15 8:32:27 PM GMT+1","7","6","8","7","7","10","3","7","5","5","7","8","8","7","7","6","5","Yes"
"2019/09/15 8:32:41 PM GMT+1","7","8","8","7","7","9","5","8","6","6","6","7","7","7","7","8","6","Yes"
"2019/09/15 8:32:45 PM GMT+1","8","8","8","8","8","8","7","8","7","7","5","","6","7","7","7","5","Yes"
"2019/09/15 8:32:50 PM GMT+1","7","8","8","7","9","10","5","7","7","7","7","7","6","9","8","10","5","Yes"
"2019/09/15 8:32:54 PM GMT+1","10","8","9","8","9","10","4","7","5","6","6","7","6","6","8","8","4","Yes"
"2019/09/15 8:32:59 PM GMT+1","10","8","9","8","9","10","4","7","5","6","6","7","6","6","8","8","4","Yes"
"2019/09/15 8:33:01 PM GMT+1","8","4","8","6","7","8","5","7","6","5","6","","","6","7","5","4","Yes"
"2019/09/15 8:33:07 PM GMT+1","7","8","8","7","8","9","2","7","3","7","3","7","8","7","7","8","6","Yes"
"2019/09/15 8:33:21 PM GMT+1","8","5","8","8","9","9","6","8","7","8","9","9","8","7","5","10","6","No"
"2019/09/15 8:34:01 PM GMT+1","8","5","7","6","7","8","6","6","5","4","7","8","6","7","7","7","6","Yes"
"2019/09/15 8:34:05 PM GMT+1","8","8","8","8","8","9","6","7","6","7","7","8","7","7","9","9","7","Yes"
"2019/09/15 8:34:19 PM GMT+1","7","7","9","9","9","10","6","7","7","6","6","","","6","5","7","4","Yes"
"2019/09/15 8:34:25 PM GMT+1","8","7","9","8","9","8","5","7","4","6","6","6","6","7","10","8","5","Yes"
"2019/09/15 8:34:39 PM GMT+1","9","8","9","7","8","9","5","6","4","6","7","7","6","7","9","7","6","No"
"2019/09/15 8:34:46 PM GMT+1","7","9","7","7","7","7","5","7","6","6","7","7","7","7","8","9","6","No"
