"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 10:35:09 PM GMT+2","9","5","7","7","7","5","7","7","9","5","9","5","7","7","9","7","5","Yes"
"2020/07/17 10:37:18 PM GMT+2","10","6","8","7","7","6","7","7","10","6","10","6","8","7","8","7","7","Yes"
"2020/07/17 10:38:51 PM GMT+2","8","7","9","9","7","6","7","9","9","6","9","7","8","6","7","7","5","No"
"2020/07/17 10:40:54 PM GMT+2","9","8","7","6","7","6","7","7","9","6","8","7","7","6","8","7","6","Yes"
"2020/07/17 10:40:57 PM GMT+2","8","8","9","8","7","5","7","8","9","5","9","8","8","7","9","7","7","Yes"
"2020/07/17 10:47:15 PM GMT+2","10","6","9","7","7","4","7","5","10","5","9","6","9","7","7","7","8","Yes"
"2020/07/17 10:47:57 PM GMT+2","7","6","9","8","3","5","7","6","9","4","8","6","6","6","8","5","7","No"
"2020/07/17 10:49:12 PM GMT+2","10","6","8","6","7","6","7","7","9","6","9","7","7","7","7","7","5","Yes"
"2020/07/17 10:49:43 PM GMT+2","8","6","7","7","5","4","8","7","8","5","7","4","6","6","9","7","6","Yes"
"2020/07/17 10:49:45 PM GMT+2","7","5","8","7","6","6","6","6","8","5","8","6","9","7","8","8","6","No"
"2020/07/17 10:49:46 PM GMT+2","8","6","8","7","6","6","5","7","8","5","8","6","7","7","8","8","7","Yes"
"2020/07/17 10:50:40 PM GMT+2","8","7","7","7","7","6","7","8","9","6","9","7","8","7","9","10","10","Yes"
"2020/07/17 10:52:29 PM GMT+2","7","6","5","5","6","6","6","6","7","6","8","6","","7","7","7","4","No"
"2020/07/17 10:52:38 PM GMT+2","7","7","7","6","6","6","7","7","9","6","8","7","6","6","8","7","6","Yes"
"2020/07/17 10:57:27 PM GMT+2","8","5","6","3","4","5","5","6","9","5","8","7","7","3","6","7","6","Yes"
"2020/07/17 10:57:30 PM GMT+2","9","7","8","7","7","5","6","7","9","5","8","6","8","7","7","7","6","Yes"
"2020/07/17 10:59:19 PM GMT+2","9","6","9","7","8","6","7","7","9","7","8","6","7","7","7","7","6","No"
"2020/07/17 10:59:39 PM GMT+2","9","7","8","8","7","8","7","8","9","7","9","7","7","8","8","7","8","Yes"
"2020/07/17 10:59:40 PM GMT+2","8","6","7","5","6","6","7","6","8","6","9","6","7","7","8","7","6","Yes"
"2020/07/17 11:00:34 PM GMT+2","8","6","7","5","5","6","6","6","7","6","9","6","7","4","7","5","3","Yes"
"2020/07/17 11:01:44 PM GMT+2","10","7","9","8","8","6","8","8","10","7","10","6","8","8","10","9","8","Yes"
