"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 2:13:30 PM GMT+2","7","8","7","7","7","8","9","9","8","8","9","7","7","7","8","9","9","7","No","Saw the post"
"2020/07/13 2:14:19 PM GMT+2","7","9","8","8","8","8","9","9","9","9","10","8","7","7","8","7","8","5","No","Saw the post"
"2020/07/13 2:14:51 PM GMT+2","7","8","8","8","7","8","9","8","9","8","8","7","7","8","8","10","10","5","No","Saw the post"
"2020/07/13 2:15:25 PM GMT+2","9","9","7","8","8","8","9","9","9","9","9","7","7","7","9","10","10","6","No","Saw the post"
"2020/07/13 2:16:03 PM GMT+2","7","7","7","7","7","8","9","9","8","8","8","7","7","8","9","10","9","6","No","Saw the post"
"2020/07/13 2:17:04 PM GMT+2","7","8","7","8","5","6","7","6","8","6","8","6","6","7","7","7","7","4","No","Saw the post"
"2020/07/13 2:17:12 PM GMT+2","7","8","8","8","8","8","9","9","9","8","9","8","7","8","8","9","9","4","No","Saw the post"
"2020/07/13 2:17:34 PM GMT+2","6","8","6","6","6","7","8","7","8","6","8","5","5","6","7","8","8","6","No","Saw the post"
"2020/07/13 2:17:43 PM GMT+2","6","7","6","6","6","7","7","7","7","7","8","6","6","6","8","8","8","5","Yes","Saw the post"
"2020/07/13 2:19:37 PM GMT+2","7","8","7","8","7","7","8","7","7","7","9","6","6","7","8","8","9","5","No","Saw the post"
"2020/07/13 2:20:01 PM GMT+2","6","8","7","7","6","7","9","7","9","7","9","7","6","6","7","8","9","6","No","Saw the post"
"2020/07/13 2:20:39 PM GMT+2","6","8","7","7","7","8","8","8","9","8","9","7","7","7","9","10","9","6","No","Saw the post"
"2020/07/13 2:21:31 PM GMT+2","8","8","6","7","5","7","8","9","7","5","9","7","6","5","8","9","8","4","Yes","Saw the post"
"2020/07/13 2:21:46 PM GMT+2","6","8","8","7","6","7","8","8","7","8","9","6","6","6","8","10","10","5","No","Saw the post"
"2020/07/13 2:22:09 PM GMT+2","10","10","10","10","10","8","10","10","10","10","10","8","8","9","10","10","10","7","No","Saw the post"
"2020/07/13 2:23:18 PM GMT+2","5","8","7","7","8","8","7","8","9","7","8","6","6","6","9","9","9","4","No","Saw the post"
"2020/07/13 2:23:41 PM GMT+2","6","7","7","7","5","7","8","8","9","7","8","5","5","5","8","9","9","2","Yes","Saw the post"
"2020/07/13 2:24:31 PM GMT+2","7","8","7","8","6","7","9","7","8","7","9","7","4","5","7","9","8","6","No",""
"2020/07/13 2:24:56 PM GMT+2","7","8","7","7","7","8","7","7","7","6","9","6","6","6","8","9","9","6","No","Saw the post"
"2020/07/13 2:25:36 PM GMT+2","7","7","7","7","6","6","8","8","8","7","8","7","7","7","10","10","10","3","No","Saw the post"
"2020/07/13 2:26:18 PM GMT+2","8","9","8","9","7","8","9","9","10","8","9","7","7","7","8","10","10","5","Yes","Saw the post"
"2020/07/13 2:26:38 PM GMT+2","6","8","7","7","5","6","8","7","9","7","9","7","6","7","9","9","9","5","No","Saw the post"
"2020/07/13 2:27:53 PM GMT+2","8","9","8","9","9","9","10","10","10","9","10","7","7","7","10","10","10","6","No","Saw the post"
"2020/07/13 2:28:10 PM GMT+2","7","8","7","8","7","8","9","9","8","7","9","7","7","7","8","9","9","4","Yes","Saw the post"
"2020/07/13 2:29:42 PM GMT+2","7","8","8","8","6","7","10","8","8","8","9","","","","8","9","10","7","No","Saw the post"
"2020/07/13 2:29:43 PM GMT+2","5","8","7","7","7","8","9","9","10","7","9","5","5","5","8","10","10","3","Yes","Saw the post"
"2020/07/13 2:31:37 PM GMT+2","7","8","6","6","7","6","9","9","7","7","10","5","5","5","9","9","10","5","Yes","Saw the post"
"2020/07/13 2:34:05 PM GMT+2","7","8","7","7","8","8","8","8","8","6","9","6","6","6","8","10","9","5","Yes","Saw the post"
"2020/07/13 2:34:50 PM GMT+2","7","8","8","8","8","8","9","9","9","8","9","8","8","8","8","10","10","7","No","Saw the post"
"2020/07/13 2:35:29 PM GMT+2","7","8","7","7","8","7","8","9","8","8","9","7","7","7","9","10","9","5","No","Saw the post"
"2020/07/13 2:36:24 PM GMT+2","7","8","8","8","8","8","9","7","9","7","8","8","7","7","8","9","9","6","No","Saw the post"
"2020/07/13 2:37:35 PM GMT+2","5","7","6","6","7","7","8","9","7","9","9","6","5","5","9","10","9","6","No","Saw the post"
"2020/07/13 2:39:23 PM GMT+2","8","8","9","9","9","8","9","9","8","9","10","7","7","7","9","10","9","5","No","Saw the post"
"2020/07/13 2:39:39 PM GMT+2","7","8","7","7","7","7","8","8","8","7","9","6","6","6","8","9","9","5","Yes","Saw the post"
"2020/07/13 2:41:06 PM GMT+2","6","8","7","8","7","8","9","8","8","7","9","6","6","6","9","10","9","4","No","Saw the post"
"2020/07/13 2:41:44 PM GMT+2","6","8","6","6","5","6","8","8","6","7","8","6","6","6","7","8","8","4","No","Saw the post"
"2020/07/13 2:42:10 PM GMT+2","7","8","7","7","7","8","9","8","8","8","9","7","7","7","8","9","8","5","No","Saw the post"
"2020/07/13 2:43:37 PM GMT+2","6","8","7","7","7","7","9","8","8","8","8","7","7","7","8","8","8","5","Yes","Saw the post"
"2020/07/13 2:44:44 PM GMT+2","7","8","8","8","8","9","10","10","8","8","10","7","7","7","9","9","9","3","No","Saw the post"
"2020/07/13 2:44:55 PM GMT+2","7","7","7","7","6","7","8","7","7","7","8","7","7","7","8","9","9","5","No","Saw the post"
"2020/07/13 2:45:43 PM GMT+2","7","9","8","8","7","7","9","7","8","8","8","9","7","7","7","10","8","3","Yes","Saw the post"
"2020/07/13 2:46:03 PM GMT+2","6","7","5","9","7","7","8","9","8","8","9","6","6","6","9","9","10","4","No","Saw the post"
"2020/07/13 2:46:45 PM GMT+2","6","8","6","6","5","6","8","7","8","7","9","6","5","5","7","10","9","6","Yes","Saw the post"
"2020/07/13 2:46:52 PM GMT+2","8","8","8","7","9","9","10","7","8","8","10","","","","9","10","10","3","Yes","Saw the post"
"2020/07/13 2:53:23 PM GMT+2","6","7","6","6","7","6","8","8","7","7","8","6","6","6","8","8","8","4","Yes","Saw the post"
"2020/07/13 2:54:36 PM GMT+2","7","7","7","7","7","8","10","10","9","9","10","7","7","7","9","9","10","7","No","Saw the post"
"2020/07/13 2:54:58 PM GMT+2","9","9","7","8","6","7","10","8","10","8","9","","","","8","10","10","5","No","Saw the post"
