"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 6:49:36 PM GMT+1","8","9","8","7","8","7","8","8","8","8","9","7","7","9","10","1","No"
"2019/12/29 6:50:11 PM GMT+1","9","9","8","8","8","8","8","9","8","9","9","","9","8","8","5","Yes"
"2019/12/29 6:50:14 PM GMT+1","7","8","7","7","8","7","8","9","7","8","7","6","8","8","8","5","No"
"2019/12/29 6:50:27 PM GMT+1","7","9","7","7","7","7","9","7","7","8","8","6","7","8","8","6","No"
"2019/12/29 6:50:29 PM GMT+1","8","9","7","7","7","6","6","7","8","8","9","1","9","9","9","7","No"
"2019/12/29 6:50:31 PM GMT+1","8","8","7","7","7","6","7","7","7","6","7","5","7","9","7","2","No"
"2019/12/29 6:50:56 PM GMT+1","7","9","8","8","9","8","8","7","7","7","8","5","8","9","9","2","No"
"2019/12/29 6:51:38 PM GMT+1","7","8","7","7","7","7","10","7","7","7","7","","8","10","8","4","No"
"2019/12/29 6:51:45 PM GMT+1","6","8","8","8","8","8","9","7","7","7","8","","9","9","8","1","No"
"2019/12/29 6:52:18 PM GMT+1","8","9","9","9","8","8","8","7","7","9","10","7","8","8","8","4",""
"2019/12/29 6:52:28 PM GMT+1","7","9","8","7","6","7","9","7","7","8","8","4","7","9","7","5","No"
"2019/12/29 6:53:16 PM GMT+1","8","7","8","8","7","7","8","8","7","8","8","","9","10","8","1","No"
"2019/12/29 6:54:10 PM GMT+1","6","8","7","7","7","6","8","9","8","8","8","5","7","7","7","5","No"
"2019/12/29 6:57:06 PM GMT+1","6","8","7","7","8","7","8","7","7","6","7","6","7","9","7","4","No"
"2019/12/29 6:57:31 PM GMT+1","8","9","8","8","8","8","8","9","9","9","9","7","9","9","8","4","No"
"2019/12/29 6:57:36 PM GMT+1","7","8","8","8","8","7","7","7","7","6","8","","8","7","8","6","No"
"2019/12/29 6:58:15 PM GMT+1","7","9","8","8","7","7","7","7","7","7","8","6","8","8","9","6","No"
"2019/12/29 6:58:48 PM GMT+1","7","9","8","8","8","7","9","9","9","9","9","8","9","10","9","3","No"
"2019/12/29 6:59:00 PM GMT+1","7","7","6","6","6","6","7","7","7","6","7","","7","8","7","4","No"
"2019/12/29 7:00:24 PM GMT+1","7","8","7","7","7","6","8","7","7","6","8","5","7","7","7","1","No"
"2019/12/29 7:00:43 PM GMT+1","8","8","8","8","8","8","9","7","7","7","8","","7","8","9","4","No"
"2019/12/29 7:01:07 PM GMT+1","7","8","8","8","7","6","8","8","8","8","8","5","8","8","8","1","No"
"2019/12/29 7:01:13 PM GMT+1","7","8","8","10","8","9","10","7","7","7","10","","10","10","10","4","No"
"2019/12/29 7:02:07 PM GMT+1","7","7","6","6","6","7","7","6","7","7","7","4","6","7","6","3","No"
"2019/12/29 7:05:20 PM GMT+1","8","9","8","8","7","7","9","8","8","9","9","6","9","10","9","1","No"
"2019/12/29 7:05:24 PM GMT+1","7","8","7","7","7","7","9","8","8","8","9","7","8","7","7","3","No"
"2019/12/29 7:06:20 PM GMT+1","8","9","8","8","8","7","9","8","8","8","8","6","9","10","10","7","No"
"2019/12/29 7:06:51 PM GMT+1","7","9","8","7","6","6","8","7","7","7","8","4","8","9","6","2","No"
"2019/12/29 7:07:56 PM GMT+1","9","7","8","7","8","8","8","8","7","7","8","6","7","8","8","5","Yes"
"2019/12/29 7:08:01 PM GMT+1","7","8","7","7","7","6","8","7","7","8","8","6","7","7","8","5","No"
"2019/12/29 7:08:01 PM GMT+1","7","9","8","8","8","7","8","8","8","7","7","6","8","8","8","4","Yes"
"2019/12/29 7:08:54 PM GMT+1","6","8","8","7","6","6","9","8","7","7","8","7","7","6","6","7","No"
"2019/12/29 7:12:15 PM GMT+1","7","9","8","8","7","7","8","8","8","9","8","6","8","8","9","5","No"
"2019/12/29 7:12:15 PM GMT+1","7","8","7","7","6","6","9","7","7","7","7","3","7","8","7","4","No"
