"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 8:10:58 PM GMT+1","8","9","7","7","7","8","8","10","8","9","8","6","9","8","8","8","3","Yes"
"2020/01/12 8:11:39 PM GMT+1","7","8","6","7","7","7","7","8","8","9","7","6","8","8","8","7","2","Yes"
"2020/01/12 8:12:15 PM GMT+1","8","9","8","8","8","9","8","10","8","9","9","7","9","9","10","9","3","Yes"
"2020/01/12 8:14:56 PM GMT+1","8","9","8","8","9","9","8","10","8","9","9","","","9","10","9","3","Yes"
"2020/01/12 8:15:05 PM GMT+1","8","9","8","8","7","7","8","9","7","9","8","6","8","9","10","9","1","Yes"
"2020/01/12 8:16:28 PM GMT+1","6","8","6","7","7","8","6","9","7","8","8","6","7","7","9","7","2","Yes"
"2020/01/12 8:17:25 PM GMT+1","7","7","7","7","7","7","10","8","6","9","8","6","8","9","10","9","2","Yes"
"2020/01/12 8:17:26 PM GMT+1","8","7","8","8","8","8","7","9","7","8","8","","9","9","9","9","2","Yes"
"2020/01/12 8:17:30 PM GMT+1","6","8","7","5","4","5","6","8","5","8","6","5","6","8","8","6","1","Yes"
"2020/01/12 8:17:53 PM GMT+1","8","8","7","7","7","8","8","9","8","8","7","7","8","9","8","8","2",""
"2020/01/12 8:19:29 PM GMT+1","7","8","7","8","6","9","7","9","7","9","8","6","7","8","9","7","3","Yes"
