"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Paul Pogba (optional)","Juan Mata (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job (optional) (be unbiased)"
"2019/12/25 12:44:40 AM GMT+1","4","5","5","5","4","6","5","5","3","5","4","6","8","6","4","1","5","6","No"
"2019/12/25 12:49:04 AM GMT+1","3","4","4","4","3","4","4","4","1","3","4","4","6","4","1","1","1","5",""
"2019/12/25 12:50:57 AM GMT+1","4","4","5","4","5","4","3","4","3","3","4","3","6","4","3","1","2","6","Yes"
"2019/12/25 12:51:12 AM GMT+1","3","6","5","7","5","6","6","6","4","5","7","","8","","4","1","3","6","Yes"
"2019/12/25 12:53:31 AM GMT+1","4","5","5","5","4","6","5","5","5","5","5","5","6","5","5","3","2","6","Yes"
"2019/12/25 12:53:48 AM GMT+1","4","6","6","6","4","5","5","6","4","4","7","6","8","6","6","6","6","8","Yes"
"2019/12/25 12:55:47 AM GMT+1","2","4","5","5","3","5","5","4","3","4","9","6","8","6","2","1","2","8","Yes"
"2019/12/25 12:58:04 AM GMT+1","1","3","3","3","4","3","2","5","1","2","5","6","8","3","1","1","1","4","No"
"2019/12/25 1:00:32 AM GMT+1","2","5","7","6","7","3","3","5","4","5","7","5","9","","3","2","7","6","Yes"
"2019/12/25 1:08:13 AM GMT+1","3","5","5","5","4","6","4","4","4","4","6","6","8","7","5","3","4","5",""
"2019/12/25 1:17:39 AM GMT+1","2","4","5","5","6","6","5","4","2","5","6","","8","","4","1","1","8","Yes"
"2019/12/25 1:19:14 AM GMT+1","1","6","7","5","4","7","4","6","4","4","6","5","9","6","3","1","8","5","No"
"2019/12/25 1:20:19 AM GMT+1","2","4","4","4","3","5","2","3","2","2","4","","8","","2","2","2","3",""
"2019/12/25 1:25:16 AM GMT+1","4","4","5","5","4","6","5","5","5","5","7","5","10","5","4","5","5","5","Yes"
"2019/12/25 1:26:34 AM GMT+1","3","3","4","5","4","6","5","5","3","4","6","6","8","6","4","1","5","8","Yes"
"2019/12/25 1:27:12 AM GMT+1","3","4","6","6","9","5","4","5","5","5","7","","9","","4","1","3","8","Yes"
"2019/12/25 1:33:16 AM GMT+1","3","5","5","6","5","6","6","6","4","5","7","","7","","2","1","5","8","Yes"
"2019/12/25 1:33:40 AM GMT+1","1","3","3","3","4","7","4","4","1","3","6","6","9","5","1","1","1","7","Yes"
"2019/12/25 1:35:57 AM GMT+1","1","1","1","1","1","1","1","1","1","1","1","","","","1","1","1","3","Yes"
"2019/12/25 1:36:19 AM GMT+1","2","3","4","4","2","4","3","3","3","3","3","5","7","5","2","2","2","4","Yes"
"2019/12/25 1:38:47 AM GMT+1","2","5","5","5","5","5","6","4","3","4","6","6","8","4","2","1","4","8","Yes"
"2019/12/25 1:39:01 AM GMT+1","4","4","5","5","5","7","5","6","3","4","7","5","9","7","5","1","2","2","No"
"2019/12/25 1:41:39 AM GMT+1","2","4","5","5","4","4","5","4","2","3","5","5","6","4","1","1","2","5","Yes"
"2019/12/25 1:41:39 AM GMT+1","2","4","3","3","2","6","3","3","2","2","5","6","7","6","2","2","2","8","Yes"
"2019/12/25 1:41:41 AM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2019/12/25 1:42:29 AM GMT+1","4","4","5","8","8","3","3","3","2","4","4","5","8","5","2","2","5","7","No"
"2019/12/25 1:43:47 AM GMT+1","3","4","4","4","3","5","4","4","1","3","3","","","","3","1","2","4","Yes"
"2019/12/25 1:48:04 AM GMT+1","1","4","4","4","3","6","3","4","1","3","6","","8","","1","1","1","3","Yes"
"2019/12/25 1:51:15 AM GMT+1","3","6","5","5","4","6","4","6","4","4","6","5","7","5","4","1","2","6","Yes"
"2019/12/25 1:51:59 AM GMT+1","3","4","5","5","6","5","4","5","1","3","5","5","8","5","3","2","2","6","Yes"
"2019/12/25 1:55:08 AM GMT+1","1","1","4","1","1","1","4","4","7","8","1","2","3","6","6","6","7","10","Yes"
"2019/12/25 1:57:08 AM GMT+1","2","3","5","5","5","6","5","6","3","5","5","5","8","","2","1","6","7","Yes"
"2019/12/25 1:57:19 AM GMT+1","3","4","6","6","5","5","5","4","2","4","5","5","8","3","3","2","4","5","Yes"
"2019/12/25 2:00:11 AM GMT+1","5","5","6","7","5","6","6","1","6","4","8","5","10","5","6","1","4","8","Yes"
"2019/12/25 2:04:47 AM GMT+1","4","5","5","5","8","7","7","8","1","6","8","7","10","6","6","1","6","4","Yes"
"2019/12/25 2:08:06 AM GMT+1","4","4","6","5","5","4","4","5","4","5","4","5","7","5","4","2","3","6","Yes"
"2019/12/25 2:08:44 AM GMT+1","3","5","3","3","3","6","6","5","1","4","4","6","7","5","3","1","1","6","Yes"
"2019/12/25 2:09:49 AM GMT+1","3","3","3","4","4","5","4","5","2","6","5","5","7","","2","1","1","3","No"
"2019/12/25 2:16:42 AM GMT+1","1","4","3","3","3","3","3","3","1","3","3","3","6","2","1","1","1","10","No"
"2019/12/25 2:16:45 AM GMT+1","3","4","6","6","5","5","6","5","3","6","6","6","7","5","4","1","2","7","Yes"
"2019/12/25 2:17:31 AM GMT+1","4","4","4","4","4","4","4","4","2","4","5","","","","2","1","2","9","Yes"
