"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/27 7:24:16 AM GMT+2","8","8","7","6","7","6","7","6","10","8","9","5","5","5","8","9","10","4","Yes"
"2020/02/27 7:27:50 AM GMT+2","8","8","7","7","7","7","8","5","10","10","8","5","2","7","8","8","9","7","Yes"
"2020/02/27 7:39:04 AM GMT+2","6","7","7","6","6","7","7","7","8","7","7","6","6","5","7","7","6","4","Yes"
"2020/02/27 7:46:01 AM GMT+2","7","9","8","8","7","7","7","8","9","8","8","7","7","7","8","8","8","6","Yes"
"2020/02/27 8:13:29 AM GMT+2","8","9","7","7","7","7","6","6","9","8","7","","","","9","8","8","3","Yes"
"2020/02/27 8:14:51 AM GMT+2","7","7","7","6","6","7","6","7","9","7","7","6","5","6","8","9","9","6","Yes"
"2020/02/27 8:19:37 AM GMT+2","7","8","7","6","6","7","8","6","8","7","7","","","","6","6","7","4","Yes"
"2020/02/27 8:21:43 AM GMT+2","6","7","6","6","6","6","6","6","9","7","9","6","5","6","6","7","6","6","Yes"
"2020/02/27 8:33:16 AM GMT+2","7","9","7","7","7","8","8","7","10","9","4","7","","","7","8","9","7","Yes"
"2020/02/27 8:35:33 AM GMT+2","7","9","8","7","8","9","7","7","9","9","9","","","","8","10","7","7","Yes"
"2020/02/27 8:53:38 AM GMT+2","8","10","9","8","8","7","9","7","10","9","9","7","7","9","10","10","10","6","Yes"
"2020/02/27 9:10:04 AM GMT+2","7","7","6","6","7","6","6","6","8","6","6","5","5","5","6","8","7","3","Yes"
"2020/02/27 9:35:54 AM GMT+2","7","7","7","7","7","7","8","8","8","8","7","","","","7","7","7","5","Yes"
"2020/02/27 10:01:16 AM GMT+2","6","7","7","5","6","7","8","5","9","8","8","7","6","6","8","7","6","6","Yes"
"2020/02/27 10:04:58 AM GMT+2","7","8","8","7","7","7","7","6","9","8","7","7","6","6","7","8","7","6","Yes"
"2020/02/27 10:06:08 AM GMT+2","8","8","8","8","8","8","8","7","9","8","8","7","","","9","9","8","5","Yes"
"2020/02/27 10:09:42 AM GMT+2","7","9","7","5","8","6","6","5","10","7","8","7","4","5","6","9","6","5","Yes"
"2020/02/27 10:09:53 AM GMT+2","7","9","6","5","7","8","8","9","10","8","7","6","5","6","7","10","7","3","Yes"
"2020/02/27 10:14:38 AM GMT+2","7","9","8","8","7","7","9","7","10","8","9","","","","9","10","8","4","No"
"2020/02/27 10:27:16 AM GMT+2","7","6","7","6","6","7","8","6","9","7","8","6","5","5","6","9","8","5","Yes"
"2020/02/27 10:42:50 AM GMT+2","6","8","6","6","8","7","7","6","9","8","8","","","","8","9","6","6","Yes"
"2020/02/27 10:43:47 AM GMT+2","8","8","7","7","8","8","9","9","10","10","9","7","7","","9","10","10","5","Yes"
"2020/02/27 11:02:27 AM GMT+2","7","8","6","6","7","7","7","8","9","7","7","","","","9","9","8","5","Yes"
"2020/02/27 11:11:37 AM GMT+2","7","9","8","7","8","7","7","7","9","8","8","6","4","6","8","10","9","6","Yes"
"2020/02/27 11:33:00 AM GMT+2","8","9","7","7","7","7","8","6","9","8","7","7","5","6","8","8","7","6","Yes"
"2020/02/27 11:58:55 AM GMT+2","8","8","7","7","7","7","8","6","9","8","8","","","","7","10","7","6","Yes"
"2020/02/27 12:20:51 PM GMT+2","8","9","8","6","7","8","6","7","9","8","7","6","","","7","7","9","7","No"
"2020/02/27 12:23:48 PM GMT+2","8","7","6","6","6","6","6","7","9","7","7","","","","6","10","8","5","Yes"
"2020/02/27 12:29:40 PM GMT+2","7","8","7","7","7","8","8","7","8","8","7","7","","10","8","9","8","5","Yes"
