"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 6:50:45 PM GMT+2","2","6","3","5","6","5","4","3","7","3","3","8","7","5","5","6","2","No"
"2020/06/21 6:51:03 PM GMT+2","4","6","5","6","5","6","6","6","7","6","6","8","7","7","5","5","3","Yes"
"2020/06/21 6:51:31 PM GMT+2","2","4","2","4","5","5","4","4","6","3","5","7","6","4","3","6","1","Yes"
"2020/06/21 6:51:46 PM GMT+2","4","7","6","6","7","4","6","5","7","5","4","9","7","6","5","7","3","No"
"2020/06/21 6:52:49 PM GMT+2","6","7","7","7","7","4","7","7","7","3","5","8","6","7","2","5","5","No"
"2020/06/21 6:53:19 PM GMT+2","4","5","5","5","6","6","6","6","8","6","6","8","7","6","5","7","4","No"
"2020/06/21 6:54:18 PM GMT+2","4","6","4","5","5","5","6","4","7","4","4","7","6","6","4","6","5","No"
"2020/06/21 6:55:32 PM GMT+2","6","6","4","5","4","4","5","4","7","3","5","9","7","5","3","6","3","No"
"2020/06/21 6:56:03 PM GMT+2","5","5","4","10","8","5","6","5","7","6","5","9","7","5","3","5","3","No"
"2020/06/21 6:56:07 PM GMT+2","7","8","6","5","7","7","8","8","9","7","6","8","7","7","7","8","5","No"
"2020/06/21 6:56:54 PM GMT+2","4","6","5","5","6","6","5","4","6","4","5","8","","5","4","5","1","No"
"2020/06/21 6:58:02 PM GMT+2","5","7","4","6","6","5","5","5","8","5","6","9","7","7","6","7","7","No"
"2020/06/21 6:58:07 PM GMT+2","5","7","6","7","7","6","7","7","8","5","6","8","7","6","6","6","6","No"
"2020/06/21 6:58:42 PM GMT+2","5","6","6","6","6","6","6","6","7","6","6","7","6","6","6","6","6","Yes"
"2020/06/21 6:59:12 PM GMT+2","5","6","5","7","6","5","8","7","9","5","6","10","8","7","6","8","8","No"
"2020/06/21 7:01:19 PM GMT+2","4","5","3","5","7","2","4","5","8","4","4","10","8","6","4","6","4","No"
"2020/06/21 7:01:32 PM GMT+2","4","6","5","5","6","5","6","6","8","3","5","8","6","5","5","5","3","Yes"
"2020/06/21 7:02:33 PM GMT+2","4","6","5","5","5","5","6","5","8","4","6","8","6","6","6","5","4","Yes"
"2020/06/21 7:02:41 PM GMT+2","5","5","6","5","5","6","5","6","7","5","5","8","7","6","6","7","7","No"
"2020/06/21 7:03:05 PM GMT+2","4","5","5","6","6","6","5","5","7","4","4","8","7","5","3","2","4","No"
"2020/06/21 7:03:06 PM GMT+2","4","5","4","6","6","6","7","6","7","5","4","8","8","7","6","9","4","No"
"2020/06/21 7:05:24 PM GMT+2","2","7","3","4","2","3","8","5","7","2","3","7","7","3","3","8","2","No"
"2020/06/21 7:06:18 PM GMT+2","4","4","5","6","6","7","8","6","8","5","6","9","7","6","6","7","6","No"
"2020/06/21 7:06:34 PM GMT+2","5","6","5","6","6","6","6","6","7","5","5","8","7","6","5","7","5","No"
"2020/06/21 7:06:58 PM GMT+2","6","8","5","6","8","7","8","8","8","7","7","9","","8","7","8","7","Yes"
"2020/06/21 7:07:28 PM GMT+2","4","4","4","5","5","6","7","7","8","5","5","8","7","6","4","7","4","No"
"2020/06/21 7:12:13 PM GMT+2","3","4","5","6","6","5","4","6","7","4","4","9","7","5","4","6","7","No"
"2020/06/21 7:13:05 PM GMT+2","8","7","8","8","8","9","8","8","9","7","8","9","9","8","8","9","6","Yes"
"2020/06/21 7:13:06 PM GMT+2","5","7","6","6","6","6","6","7","8","5","6","9","8","7","5","7","4","Yes"
"2020/06/21 7:13:37 PM GMT+2","4","7","5","6","6","6","7","6","8","6","6","8","7","7","1","6","7","No"
"2020/06/21 7:13:40 PM GMT+2","5","6","5","5","6","6","6","6","8","5","6","8","8","8","7","9","4","No"
"2020/06/21 7:13:43 PM GMT+2","3","6","3","5","6","5","6","7","7","6","5","8","7","7","7","8","3","No"
"2020/06/21 7:13:47 PM GMT+2","4","5","4","5","6","5","6","5","9","4","4","8","8","7","6","6","5","No"
"2020/06/21 7:14:13 PM GMT+2","6","7","3","4","7","4","6","7","8","3","3","","","7","5","6","4","No"
"2020/06/21 7:15:00 PM GMT+2","4","5","5","6","5","4","5","6","7","3","4","7","7","6","6","6","5","No"
"2020/06/21 7:15:57 PM GMT+2","6","7","6","7","8","6","7","9","8","7","6","9","8","7","5","7","7","No"
"2020/06/21 7:16:08 PM GMT+2","1","3","1","5","2","6","5","2","10","4","2","10","8","4","3","3","3","No"
"2020/06/21 7:16:23 PM GMT+2","6","6","6","6","7","6","6","7","8","7","7","7","7","7","7","8","6","No"
"2020/06/21 7:16:40 PM GMT+2","4","5","5","5","6","6","7","5","6","4","5","9","8","6","5","6","4","No"
"2020/06/21 7:16:51 PM GMT+2","4","5","5","5","5","5","6","5","6","3","5","8","4","6","6","8","6","No"
"2020/06/21 7:17:28 PM GMT+2","5","7","5","6","7","8","7","8","8","7","7","8","8","7","5","10","6","No"
