"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 9:01:57 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Yes"
"2019/08/25 9:03:12 PM GMT+1","2","5","5","4","6","5","7","6","2","5","5","5","3","4","1","5","1","No"
"2019/08/25 9:03:21 PM GMT+1","5","5","5","5","7","6","7","5","1","7","4","6","1","4","1","3","5","No"
"2019/08/25 9:03:57 PM GMT+1","4","6","5","5","6","6","6","5","4","7","6","6","6","6","1","6","7","No"
"2019/08/25 9:04:55 PM GMT+1","4","5","6","3","5","4","6","4","1","6","5","6","5","5","3","3","7","No"
"2019/08/25 9:05:47 PM GMT+1","3","3","6","4","7","5","5","4","3","7","3","5","4","1","1","1","4","No"
"2019/08/25 9:06:19 PM GMT+1","4","5","6","5","5","4","5","5","4","6","5","5","3","5","1","5","6","No"
"2019/08/25 9:07:03 PM GMT+1","2","5","6","4","6","5","6","4","1","7","6","5","4","4","1","6","5","No"
"2019/08/25 9:08:10 PM GMT+1","3","5","6","2","5","5","2","4","3","6","6","6","2","5","1","2","9","No"
"2019/08/25 9:08:22 PM GMT+1","4","7","6","6","7","6","8","5","6","8","6","7","6","7","1","7","6","Yes"
"2019/08/25 9:08:23 PM GMT+1","3","3","3","3","5","5","7","5","5","7","7","6","1","4","1","1","2","No"
"2019/08/25 9:09:54 PM GMT+1","3","5","5","4","7","4","8","6","3","7","6","5","3","4","1","4","5","No"
"2019/08/25 9:10:55 PM GMT+1","4","5","5","5","5","7","7","7","5","7","6","4","5","3","3","4","7","No"
"2019/08/25 9:11:59 PM GMT+1","3","2","3","4","4","5","5","2","2","4","3","4","2","3","2","2","4","No"
"2019/08/25 9:12:07 PM GMT+1","6","8","6","6","6","7","7","7","5","3","8","5","5","3","1","1","7","No"
"2019/08/25 9:12:53 PM GMT+1","3","5","5","4","6","6","5","5","4","7","7","6","3","6","1","3","3","No"
"2019/08/25 9:12:54 PM GMT+1","4","5","6","3","5","5","6","5","2","6","5","6","5","3","1","3","5","No"
"2019/08/25 9:13:52 PM GMT+1","3","3","6","4","7","6","8","6","5","8","7","7","1","7","2","7","7","No"
"2019/08/25 9:14:42 PM GMT+1","4","4","5","5","7","7","6","6","3","6","6","6","5","2","2","4","5","No"
"2019/08/25 9:15:47 PM GMT+1","5","6","7","6","8","7","8","6","4","7","8","6","6","6","2","4","3","No"
"2019/08/25 9:15:59 PM GMT+1","6","6","7","5","7","6","6","6","5","7","7","6","5","6","3","5","5","No"
