"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Ole","Everton","Did the ref/VAR do a good job? (optional) (try to be unbiased)"
"2019/12/18 6:09:46 AM GMT+1","6","7","6","7","7","7","7","5","5","5","5","8","6","3","6","7","No"
"2019/12/18 6:11:28 AM GMT+1","7","7","7","7","8","8","7","7","7","8","6","9","6","6","7","8","Yes"
"2019/12/18 6:13:17 AM GMT+1","8","8","8","8","9","8","8","8","7","8","7","10","7","6","10","8","No"
"2019/12/18 6:14:11 AM GMT+1","5","6","6","6","9","8","7","6","5","6","5","9","4","4","5","5","No"
"2019/12/18 6:23:06 AM GMT+1","8","8","8","5","8","9","8","6","6","9","7","10","7","5","6","7","No"
"2019/12/18 6:32:43 AM GMT+1","5","6","7","7","6","7","6","5","5","5","4","8","5","5","6","8","No"
"2019/12/18 6:33:10 AM GMT+1","5","4","6","5","7","6","5","6","4","7","4","8","4","3","4","6","No"
"2019/12/18 6:34:05 AM GMT+1","3","4","5","4","7","6","5","4","2","4","4","7","3","3","2","5","No"
"2019/12/18 6:44:52 AM GMT+1","4","5","5","5","7","7","6","7","5","6","5","8","5","4","5","7","Yes"
"2019/12/18 6:47:22 AM GMT+1","6","4","5","2","8","5","5","4","1","3","2","7","3","3","3","6","No"
"2019/12/18 6:54:19 AM GMT+1","4","6","8","8","7","7","7","6","5","4","6","8","6","6","7","3","No"
"2019/12/18 6:54:22 AM GMT+1","6","7","7","7","8","7","7","6","6","7","6","8","7","5","7","7","No"
"2019/12/18 6:58:35 AM GMT+1","3","6","4","5","8","6","5","6","5","6","5","8","5","4","6","7","Yes"
"2019/12/18 7:03:16 AM GMT+1","6","6","6","4","6","8","7","6","3","5","5","7","5","1","5","6","Yes"
"2019/12/18 7:03:19 AM GMT+1","7","7","7","6","7","6","6","7","6","7","5","8","5","3","4","5","No"
"2019/12/18 7:10:21 AM GMT+1","5","6","6","7","10","8","8","5","7","7","7","9","5","8","8","8","No"
"2019/12/18 7:38:12 AM GMT+1","5","6","6","4","6","5","5","5","5","6","5","8","5","2","4","5","No"
"2019/12/18 7:40:28 AM GMT+1","5","6","5","5","8","8","7","6","5","7","5","9","6","5","6","6","No"
"2019/12/18 7:48:31 AM GMT+1","4","5","5","4","7","7","5","5","4","6","5","8","5","4","5","3","Yes"
"2019/12/18 7:48:43 AM GMT+1","6","6","6","6","7","7","7","6","6","5","6","7","6","4","5","5","No"
"2019/12/18 7:51:39 AM GMT+1","6","5","6","4","7","5","6","7","6","6","4","8","4","2","6","6","No"
"2019/12/18 7:51:48 AM GMT+1","3","6","5","4","8","6","6","4","2","5","2","7","4","1","4","3","No"
"2019/12/18 7:56:53 AM GMT+1","7","7","7","7","9","8","6","8","6","8","6","8","7","6","7","8","No"
"2019/12/18 8:01:38 AM GMT+1","5","6","6","6","6","5","6","5","5","5","5","7","6","3","6","3","No"
"2019/12/18 8:05:17 AM GMT+1","4","4","6","6","6","7","5","6","3","4","5","9","6","6","5","7","No"
"2019/12/18 8:06:28 AM GMT+1","6","7","8","8","9","6","6","6","5","6","8","9","7","6","8","7","No"
"2019/12/18 8:13:54 AM GMT+1","6","7","7","5","8","7","6","6","6","6","6","7","6","3","6","5","No"
"2019/12/18 8:23:04 AM GMT+1","5","4","6","5","7","8","5","6","3","6","5","8","4","3","5","6","Yes"
"2019/12/18 8:38:13 AM GMT+1","6","6","5","6","6","7","7","5","2","4","4","8","5","2","5","2","No"
"2019/12/18 8:43:01 AM GMT+1","6","6","6","5","7","5","5","4","4","6","4","8","4","4","5","4","No"
"2019/12/18 8:52:57 AM GMT+1","7","7","7","8","8","7","7","8","7","8","7","10","7","5","8","6","No"
"2019/12/18 8:56:59 AM GMT+1","7","8","6","3","10","7","3","7","7","8","8","9","5","3","7","2","No"
"2019/12/18 8:57:18 AM GMT+1","5","4","5","5","6","7","5","5","3","6","5","7","4","6","6","6","No"
"2019/12/18 8:58:10 AM GMT+1","5","5","6","7","9","7","6","7","4","5","6","8","5","3","2","6","No"
"2019/12/18 9:06:28 AM GMT+1","7","5","5","5","7","7","7","5","4","6","6","8","5","3","6","3","No"
"2019/12/18 9:08:19 AM GMT+1","4","7","7","7","9","8","8","5","5","5","3","9","5","3","5","6","No"
"2019/12/18 9:36:10 AM GMT+1","5","5","5","5","6","6","6","5","5","5","5","6","5","4","5","5","No"
