"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 10:31:16 PM GMT+2","5","7","6","5","6","8","9","7","9","6","6","","","6","6","5","5","No"
"2020/03/02 10:31:46 PM GMT+2","2","6","7","6","7","7","8","5","10","4","3","3","","6","5","7","6","No"
"2020/03/02 10:32:36 PM GMT+2","5","5","7","5","6","6","6","5","7","5","5","6","","6","6","6","5","No"
"2020/03/02 10:35:48 PM GMT+2","4","6","8","7","7","8","8","8","9","7","5","","","7","5","6","7","No"
"2020/03/02 10:37:08 PM GMT+2","4","7","8","7","6","8","7","6","8","5","5","","","6","6","6","6","No"
"2020/03/02 10:39:21 PM GMT+2","5","7","5","6","8","7","7","6","8","6","7","6","6","6","3","7","5","No"
"2020/03/02 10:39:58 PM GMT+2","5","6","6","6","6","7","7","8","7","6","4","5","5","6","5","4","7","No"
"2020/03/02 10:41:31 PM GMT+2","6","7","8","3","5","6","6","6","8","4","5","5","5","4","4","6","5","No"
"2020/03/02 10:41:49 PM GMT+2","8","8","7","8","8","9","8","7","9","7","7","8","8","7","8","8","9","No"
"2020/03/02 10:42:34 PM GMT+2","4","7","9","7","4","7","8","6","8","4","4","4","6","4","4","5","8","No"
"2020/03/02 10:42:52 PM GMT+2","5","8","8","7","6","7","8","7","9","6","3","7","","6","3","7","8","No"
"2020/03/02 10:43:34 PM GMT+2","3","8","8","4","7","6","8","6","9","7","4","","7","5","1","6","8","No"
"2020/03/02 10:48:27 PM GMT+2","4","6","6","5","6","7","5","6","8","5","3","8","7","7","3","5","7","No"
"2020/03/02 10:49:05 PM GMT+2","8","5","9","3","6","8","6","4","8","6","5","7","6","7","8","8","8","Yes"
"2020/03/02 10:51:19 PM GMT+2","5","6","9","5","7","7","9","7","9","6","6","","","6","3","6","7","Yes"
"2020/03/02 10:51:35 PM GMT+2","5","5","7","6","4","5","5","6","8","5","4","","","6","6","5","7","No"
"2020/03/02 10:51:58 PM GMT+2","6","7","7","6","6","6","8","7","8","6","7","6","6","7","1","5","7","No"
"2020/03/02 10:52:17 PM GMT+2","5","7","8","6","6","6","7","6","8","5","4","","7","5","6","5","7","No"
"2020/03/02 10:53:20 PM GMT+2","4","6","8","8","7","7","8","7","8","6","6","6","6","6","6","8","6","No"
"2020/03/02 10:54:22 PM GMT+2","5","7","8","7","8","7","7","6","8","6","6","6","6","6","6","6","6","Yes"
