"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Bruno","Rashford","Greenwood","Martial","Fred","Williams (you are free not to vote)","Team Performance","Final Result","Ole","Southampton","Did the ref do a good job?"
"2020/07/14 9:24:39 PM GMT+2","6","8","4","9","6","5","5","6","8","6","10","6","6","6","4","5","10","No"
"2020/07/14 9:26:32 PM GMT+2","8","9","3","9","7","5","4","5","7","6","9","6","","5","3","4","1","No"
"2020/07/14 9:30:11 PM GMT+2","3","5","4","5","5","6","5","6","7","5","8","5","5","5","3","4","6","No"
"2020/07/14 9:30:44 PM GMT+2","6","7","4","5","1","4","4","4","7","5","7","5","7","1","1","1","7","No"
"2020/07/14 9:31:48 PM GMT+2","6","7","5","7","5","5","6","4","8","6","8","4","5","4","5","5","6","No"
"2020/07/14 9:32:48 PM GMT+2","7","8","6","7","6","5","6","7","7","5","9","6","","7","5","8","8","No"
"2020/07/14 9:32:54 PM GMT+2","6","8","7","7","8","6","8","6","8","6","9","","","6","6","7","9","No"
"2020/07/14 9:34:02 PM GMT+2","7","8","7","7","5","5","8","7","7","6","9","6","7","6","3","5","9","No"
"2020/07/14 9:34:52 PM GMT+2","7","8","6","8","5","6","7","6","7","6","9","4","10","6","5","9","10","No"
"2020/07/14 9:35:16 PM GMT+2","6","6","6","5","6","4","7","7","8","5","7","6","6","6","6","5","7","No"
"2020/07/14 9:35:45 PM GMT+2","6","8","5","7","6","6","6","6","7","5","8","6","7","6","3","9","8","No"
"2020/07/14 9:35:58 PM GMT+2","6","8","6","7","7","5","7","8","8","6","9","6","5","7","6","8","1","No"
"2020/07/14 9:37:45 PM GMT+2","7","7","5","8","6","5","5","7","7","6","8","6","6","6","5","6","6","No"
"2020/07/14 9:40:10 PM GMT+2","7","8","6","8","6","7","6","7","8","6","8","6","10","6","6","7","8","No"
"2020/07/14 9:40:52 PM GMT+2","6","7","5","6","4","4","5","4","7","5","8","4","","4","5","5","7","Yes"
