"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 8:34:08 PM GMT+2","6","6","6","6","7","7","8","6","8","9","5","4","5","6","8","7","8","4","Yes"
"2020/07/01 8:34:24 PM GMT+2","9","9","10","9","10","9","10","8","10","10","9","7","7","8","10","10","10","3","Yes"
"2020/07/01 8:36:50 PM GMT+2","8","7","7","6","8","8","8","7","9","9","7","4","5","6","8","8","8","4","Yes"
"2020/07/01 8:37:02 PM GMT+2","7","8","7","7","7","7","8","6","9","8","6","","","","8","10","9","7",""
"2020/07/01 8:38:49 PM GMT+2","8","7","8","7","9","8","10","8","10","10","7","5","6","6","9","10","10","1","Yes"
"2020/07/01 8:40:27 PM GMT+2","9","8","8","8","8","8","8","6","10","8","7","6","6","7","8","10","8","5","Yes"
"2020/07/01 8:42:45 PM GMT+2","8","7","9","8","8","9","10","6","10","9","7","7","6","8","9","9","10","3","Yes"
"2020/07/01 8:44:53 PM GMT+2","8","7","7","7","7","8","8","6","9","9","6","5","4","6","8","10","10","5","Yes"
"2020/07/01 8:47:34 PM GMT+2","7","7","8","6","7","7","9","6","8","8","6","","","","8","8","7","5",""
"2020/07/01 8:50:06 PM GMT+2","8","8","8","8","8","8","10","6","10","10","7","6","6","7","10","10","10","5","Yes"
"2020/07/01 8:50:21 PM GMT+2","7","7","7","7","7","8","8","6","9","9","5","5","5","6","9","9","9","4","Yes"
"2020/07/01 8:51:35 PM GMT+2","7","7","8","8","7","7","8","7","9","8","7","5","6","8","9","9","9","6","Yes"
"2020/07/01 8:59:28 PM GMT+2","8","8","7","7","8","8","8","7","8","9","7","6","6","7","9","9","8","5","Yes"
"2020/07/01 8:59:48 PM GMT+2","7","7","7","7","7","8","9","7","9","9","6","5","7","7","8","9","9","5","Yes"
"2020/07/01 9:01:02 PM GMT+2","10","6","6","10","10","9","8","10","10","10","7","5","8","6","8","8","10","6","Yes"
"2020/07/01 9:01:34 PM GMT+2","7","7","7","7","7","7","9","6","10","8","6","6","6","6","9","9","10","2","Yes"
"2020/07/01 9:01:55 PM GMT+2","7","8","8","7","7","8","9","7","9","9","7","5","6","7","10","10","10","4","Yes"
"2020/07/01 9:04:07 PM GMT+2","7","8","7","7","8","9","10","7","10","10","7","5","6","7","8","9","8","6","No"
"2020/07/01 9:04:56 PM GMT+2","7","7","7","7","8","7","8","6","9","8","7","6","6","6","9","9","9","7","No"
"2020/07/01 9:05:04 PM GMT+2","8","8","9","8","8","8","9","7","9","9","8","1","6","7","9","10","9","3","Yes"
"2020/07/01 9:05:08 PM GMT+2","9","7","7","7","8","10","10","5","10","10","10","2","5","6","9","10","10","4","Yes"
"2020/07/01 9:06:17 PM GMT+2","7","7","7","7","7","7","8","7","8","8","7","5","6","6","8","8","8","4","Yes"
"2020/07/01 9:06:44 PM GMT+2","9","7","8","7","8","8","9","6","9","9","7","6","6","7","8","9","10","6","Yes"
"2020/07/01 9:06:49 PM GMT+2","7","7","7","7","7","7","8","7","9","9","6","4","4","5","8","10","9","8","Yes"
"2020/07/01 9:06:55 PM GMT+2","9","8","9","7","8","8","10","4","10","10","5","7","7","8","9","10","9","6","Yes"
"2020/07/01 9:07:09 PM GMT+2","8","8","8","8","8","9","9","7","9","9","7","6","7","7","9","9","9","6","Yes"
