"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 3:01:15 PM GMT+1","5","6","3","3","6","5","5","1","1","3","2","4","3","3","3","3","1","6","Yes","Yes"
"2020/01/25 3:01:17 PM GMT+1","6","6","6","6","6","7","7","4","1","4","5","6","2","5","1","1","2","10","Yes","Yes"
"2020/01/25 3:06:08 PM GMT+1","1","5","1","1","4","2","2","2","1","1","1","1","1","1","1","10","1","10","Yes","Yes"
"2020/01/25 3:06:11 PM GMT+1","6","5","3","6","6","6","6","2","1","3","3","5","","","3","1","4","8","Yes",""
"2020/01/25 3:10:45 PM GMT+1","3","5","2","5","5","3","5","3","2","3","2","3","4","3","2","2","2","9","Yes","Yes"
"2020/01/25 3:11:38 PM GMT+1","4","7","5","5","6","6","5","4","3","4","3","","","","3","1","4","7","",""
"2020/01/25 3:17:33 PM GMT+1","4","5","8","3","5","2","4","5","4","5","4","6","1","3","3","2","1","4","",""
"2020/01/25 3:19:31 PM GMT+1","5","6","5","3","5","7","9","7","3","5","5","5","5","7","3","1","1","7","Yes","Yes"
"2020/01/25 3:20:08 PM GMT+1","5","5","1","5","5","7","4","3","1","4","1","","","","3","1","1","5","Yes","Yes"
"2020/01/25 3:22:59 PM GMT+1","8","4","4","6","6","8","7","5","5","4","3","6","4","6","3","1","8","9","No","No"
"2020/01/25 3:24:37 PM GMT+1","5","5","4","6","7","6","6","4","3","4","3","5","5","5","1","2","2","6","Yes","Yes"
"2020/01/25 3:26:36 PM GMT+1","4","5","3","6","5","6","4","3","2","3","3","4","4","1","1","1","1","6","Yes","Yes"
"2020/01/25 3:31:28 PM GMT+1","5","5","4","5","4","5","6","3","5","5","4","5","5","6","4","1","4","5","No","Yes"
"2020/01/25 3:39:52 PM GMT+1","7","8","6","6","9","6","10","7","1","4","3","5","3","6","3","1","4","6","No","No"
"2020/01/25 3:42:08 PM GMT+1","5","5","3","3","5","5","6","5","4","5","4","","","","1","1","3","5","Yes","Yes"
"2020/01/25 3:42:29 PM GMT+1","5","6","2","6","5","6","6","4","3","4","4","4","4","4","3","1","5","4","Yes","Yes"
"2020/01/25 3:43:05 PM GMT+1","4","6","4","3","5","5","6","4","3","4","4","","","","3","2","4","5","",""
"2020/01/25 3:44:48 PM GMT+1","5","6","4","5","4","5","6","3","3","4","3","4","3","4","3","1","4","6","Yes","Yes"
"2020/01/25 3:46:56 PM GMT+1","4","8","4","7","8","5","8","3","1","3","2","6","1","2","1","1","1","7","No","No"
"2020/01/25 3:57:53 PM GMT+1","6","6","6","7","6","6","6","5","4","5","3","4","","","3","1","8","6","Yes",""
"2020/01/25 4:00:45 PM GMT+1","5","5","3","4","5","5","5","2","2","3","2","","","","2","1","2","8","Yes","Yes"
"2020/01/25 4:01:12 PM GMT+1","7","7","7","7","9","6","10","6","3","3","3","","1","","3","1","1","10","",""
