"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 4:33:01 PM GMT+1","6","6","7","5","5","5","4","7","4","7","9","5","","","8","8","7","3","No"
"2019/12/27 4:34:26 PM GMT+1","6","5","6","5","7","6","5","7","5","8","9","7","4","4","8","10","6","5","Yes"
"2019/12/27 4:36:25 PM GMT+1","5","5","7","7","8","9","8","8","7","7","9","8","5","5","8","8","9","7","Yes"
"2019/12/27 4:37:02 PM GMT+1","7","8","9","8","9","10","7","9","8","10","10","9","8","8","9","9","10","5","Yes"
"2019/12/27 4:37:17 PM GMT+1","7","8","8","7","8","8","7","8","8","9","9","8","7","7","8","10","8","6","Yes"
"2019/12/27 4:37:18 PM GMT+1","7","7","6","8","9","10","5","8","7","8","10","9","5","6","9","10","8","5","No"
"2019/12/27 4:37:50 PM GMT+1","8","8","9","9","9","8","6","8","7","8","9","9","8","7","6","10","7","3","Yes"
"2019/12/27 4:38:11 PM GMT+1","5","7","7","5","8","8","5","7","7","8","9","8","6","7","8","8","9","3","Yes"
"2019/12/27 4:41:21 PM GMT+1","7","8","8","7","8","8","6","8","6","9","10","6","","","8","10","10","2","No"
"2019/12/27 4:41:51 PM GMT+1","6","7","6","6","8","7","6","7","6","7","8","7","6","","7","8","8","5","Yes"
"2019/12/27 4:42:08 PM GMT+1","5","6","6","6","7","6","6","7","7","8","9","7","5","6","7","7","6","4","Yes"
"2019/12/27 4:42:10 PM GMT+1","5","5","6","5","6","6","6","7","6","8","8","6","5","5","7","6","6","4","Yes"
"2019/12/27 4:42:55 PM GMT+1","6","7","8","6","6","8","6","7","8","8","10","7","1","7","8","10","7","5","Yes"
"2019/12/27 4:42:58 PM GMT+1","6","6","8","7","8","8","6","9","7","9","10","8","6","7","8","9","9","2","Yes"
"2019/12/27 4:45:48 PM GMT+1","6","6","7","7","8","7","7","8","8","9","9","7","6","7","8","8","8","3","Yes"
"2019/12/27 4:46:00 PM GMT+1","6","7","6","6","7","8","5","7","7","7","8","7","5","6","7","9","7","3","Yes"
"2019/12/27 4:46:53 PM GMT+1","7","7","8","7","8","7","6","7","6","7","9","8","5","6","8","9","10","2","Yes"
"2019/12/27 4:51:08 PM GMT+1","6","5","7","6","7","8","6","7","7","8","9","7","5","5","7","7","7","4","No"
"2019/12/27 4:52:05 PM GMT+1","7","7","6","7","8","9","6","7","7","8","9","8","5","5","8","10","10","5","Yes"
"2019/12/27 4:52:51 PM GMT+1","6","7","7","5","6","6","6","7","5","7","8","8","6","7","6","6","5","4","Yes"
"2019/12/27 4:54:13 PM GMT+1","5","6","6","6","8","8","4","7","6","7","8","7","5","6","7","7","6","4","Yes"
