"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 10:26:29 PM GMT+1","5","5","5","3","9","6","3","2","5","8","1","2","3","3","1","1","5","Yes"
"2019/08/31 10:26:36 PM GMT+1","5","6","6","4","8","7","4","5","6","8","5","5","3","5","4","7","6","Yes"
"2019/08/31 10:31:01 PM GMT+1","8","6","7","6","8","7","5","5","7","8","6","6","8","5","3","7","5","Yes"
"2019/08/31 10:31:06 PM GMT+1","7","5","5","4","7","6","4","3","7","7","3","4","6","5","2","4","6","Yes"
"2019/08/31 10:34:06 PM GMT+1","6","6","6","5","7","7","6","2","3","8","4","6","4","4","2","2","4","Yes"
"2019/08/31 10:35:22 PM GMT+1","7","6","8","6","10","8","6","7","8","10","5","","1","6","4","6","8","Yes"
"2019/08/31 10:36:11 PM GMT+1","6","5","7","4","6","6","2","4","4","7","3","3","5","5","5","6","3","Yes"
"2019/08/31 10:36:11 PM GMT+1","4","4","5","3","6","4","4","3","4","7","2","2","1","3","2","2","5",""
"2019/08/31 10:36:55 PM GMT+1","6","6","6","5","7","6","5","5","7","8","4","4","4","5","2","5","3",""
"2019/08/31 10:37:32 PM GMT+1","6","5","7","6","6","6","6","4","6","8","4","5","5","4","3","5","6","Yes"
"2019/08/31 10:40:34 PM GMT+1","5","5","5","3","7","6","3","2","6","8","5","5","7","4","3","5","7","Yes"
"2019/08/31 10:41:38 PM GMT+1","5","6","5","3","6","7","5","3","7","9","2","4","6","5","1","5","6","Yes"
"2019/08/31 10:41:39 PM GMT+1","8","7","8","6","7","6","6","5","8","8","5","5","6","6","5","5","7","Yes"
"2019/08/31 10:47:23 PM GMT+1","6","6","7","5","6","5","7","6","7","8","3","2","6","5","4","4","4","Yes"
"2019/08/31 10:49:57 PM GMT+1","7","7","7","3","8","7","5","4","6","8","5","3","6","5","1","5","2","Yes"
"2019/08/31 10:51:16 PM GMT+1","6","5","6","2","8","6","7","3","4","8","3","2","5","4","10","6","9","Yes"
"2019/08/31 10:52:07 PM GMT+1","6","7","7","6","8","7","3","3","5","8","3","3","6","4","4","5","5","Yes"
"2019/08/31 10:53:26 PM GMT+1","7","7","7","5","7","6","6","4","6","8","4","5","5","7","5","7","8","No"
"2019/08/31 10:55:29 PM GMT+1","7","7","8","7","8","6","7","5","7","8","5","5","6","6","6","6","7","Yes"
"2019/08/31 10:58:32 PM GMT+1","4","6","5","5","7","5","6","5","7","8","3","5","3","3","3","4","6","Yes"
"2019/08/31 11:02:29 PM GMT+1","5","6","6","5","7","6","6","3","6","8","4","4","6","5","4","4","6","Yes"
"2019/08/31 11:03:38 PM GMT+1","7","6","7","5","8","6","6","4","5","8","3","3","3","5","1","3","6","Yes"
"2019/08/31 11:06:03 PM GMT+1","5","3","8","3","9","7","5","5","6","7","5","1","5","6","1","7","4","Yes"
"2019/08/31 11:07:05 PM GMT+1","6","6","6","3","7","5","3","3","6","8","2","3","1","5","2","4","5","Yes"
"2019/08/31 11:07:33 PM GMT+1","7","4","6","4","6","5","5","5","5","6","4","4","4","5","2","5","6","Yes"
"2019/08/31 11:07:41 PM GMT+1","6","5","6","5","7","6","6","4","6","7","5","4","5","5","5","3","5","Yes"
"2019/08/31 11:07:48 PM GMT+1","7","6","7","6","8","6","6","5","6","8","4","4","2","3","4","2","8","Yes"
"2019/08/31 11:10:37 PM GMT+1","6","5","7","7","8","7","4","5","4","9","3","","","4","5","5","3","Yes"
"2019/08/31 11:12:23 PM GMT+1","6","6","6","5","7","7","6","4","5","8","1","3","5","5","4","7","5","Yes"
"2019/08/31 11:17:17 PM GMT+1","6","6","5","4","6","3","4","2","7","6","2","1","6","4","1","2","3","Yes"
"2019/08/31 11:17:25 PM GMT+1","8","6","8","5","8","7","5","4","7","8","4","4","5","4","4","4","8","Yes"
"2019/08/31 11:17:35 PM GMT+1","6","5","8","5","8","4","4","3","6","7","3","3","5","4","2","4","4","Yes"
"2019/08/31 11:19:57 PM GMT+1","7","6","6","5","7","6","4","4","5","8","4","4","4","5","3","8","3","Yes"
"2019/08/31 11:20:49 PM GMT+1","6","6","6","6","7","5","4","4","6","9","3","4","6","5","1","10","4","Yes"
"2019/08/31 11:21:53 PM GMT+1","5","5","5","10","7","5","9","7","5","7","6","3","4","3","2","1","8","Yes"
"2019/08/31 11:26:56 PM GMT+1","7","5","6","5","6","4","5","4","5","8","5","4","3","3","1","3","6","No"
"2019/08/31 11:27:06 PM GMT+1","6","5","6","4","8","7","6","4","6","9","3","3","3","4","3","5","8","Yes"
"2019/08/31 11:27:09 PM GMT+1","7","4","7","5","8","7","6","5","5","8","6","5","4","5","2","6","7","Yes"
