"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 5:36:00 PM GMT+2","6","8","5","7","7","8","8","8","8","9","8","6","7","6","8","9","9","6","Yes"
"2020/07/07 5:36:18 PM GMT+2","7","7","6","8","7","7","8","7","9","9","8","7","8","7","8","8","8","7","No"
"2020/07/07 5:36:39 PM GMT+2","3","5","5","6","5","6","7","7","9","9","8","5","7","6","7","9","10","6","No"
"2020/07/07 5:37:29 PM GMT+2","4","7","4","6","7","7","8","8","9","9","8","5","6","5","7","8","8","3","No"
"2020/07/07 5:38:20 PM GMT+2","4","8","4","8","9","9","10","7","10","10","8","7","8","7","8","10","10","7",""
"2020/07/07 5:38:20 PM GMT+2","5","9","7","8","9","8","8","8","10","10","8","6","7","6","9","9","10","5","Yes"
"2020/07/07 5:39:05 PM GMT+2","5","7","5","6","7","7","8","8","9","9","8","5","7","7","8","8","8","4","No"
"2020/07/07 5:39:12 PM GMT+2","5","6","5","6","7","8","8","7","9","10","8","5","6","6","8","10","8","6","Yes"
"2020/07/07 5:39:33 PM GMT+2","4","7","5","4","7","8","8","7","10","10","8","5","7","6","8","8","9","4","No"
"2020/07/07 5:40:29 PM GMT+2","5","7","5","6","6","7","7","6","8","9","7","6","7","7","8","9","7","6","No"
"2020/07/07 5:41:43 PM GMT+2","6","8","7","6","7","8","8","8","9","10","8","6","6","6","9","10","8","1","Yes"
"2020/07/07 5:42:50 PM GMT+2","7","8","5","7","7","8","9","7","9","9","8","6","8","8","8","10","10","3","No"
"2020/07/07 5:43:16 PM GMT+2","4","7","4","7","8","5","8","8","9","9","8","6","6","6","7","8","8","6","No"
"2020/07/07 5:43:19 PM GMT+2","5","7","6","7","8","7","9","8","9","10","9","6","6","7","8","10","10","7","No"
"2020/07/07 5:43:27 PM GMT+2","4","8","3","5","6","10","9","8","9","10","8","6","7","5","8","8","10","1","Yes"
"2020/07/07 5:43:43 PM GMT+2","7","8","7","7","9","8","8","7","9","9","8","6","7","6","8","8","8","6","Yes"
"2020/07/07 5:43:46 PM GMT+2","6","8","6","6","7","9","9","8","10","10","8","6","","","8","9","10","6","No"
"2020/07/07 5:44:18 PM GMT+2","3","6","4","5","6","7","7","8","8","9","8","5","6","","8","9","9","5","No"
"2020/07/07 5:44:45 PM GMT+2","3","9","4","6","10","7","9","8","9","10","8","5","8","7","9","10","9","6","No"
"2020/07/07 5:45:34 PM GMT+2","5","7","4","6","8","7","8","8","9","10","9","5","7","6","8","10","9","3","Yes"
