"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 1:27:30 PM GMT+1","7","6","7","6","6","7","7","7","8","8","8","7","7","7","7","Yes"
"2019/10/21 1:27:44 PM GMT+1","2","2","2","2","2","2","2","2","2","3","1","2","1","1","10","No"
"2019/10/21 1:27:50 PM GMT+1","7","5","7","6","6","8","7","7","7","7","7","8","5","8","1","Yes"
"2019/10/21 1:29:00 PM GMT+1","7","7","8","7","3","8","6","9","7","9","8","8","7","10","6","Yes"
"2019/10/21 1:29:17 PM GMT+1","5","4","7","5","8","6","6","8","7","9","9","8","7","9","6","Yes"
"2019/10/21 1:29:20 PM GMT+1","7","7","7","6","7","7","7","7","7","7","8","8","6","5","4","Yes"
"2019/10/21 1:29:26 PM GMT+1","8","5","6","5","5","7","5","6","7","7","8","7","6","6","6","Yes"
"2019/10/21 1:29:37 PM GMT+1","8","5","7","7","8","8","7","7","7","8","9","9","5","8","3","Yes"
"2019/10/21 1:29:41 PM GMT+1","7","5","8","7","7","9","7","8","7","8","9","7","7","8","5","Yes"
"2019/10/21 1:29:41 PM GMT+1","7","6","7","5","5","7","6","7","7","8","8","8","7","7","3","No"
"2019/10/21 1:29:46 PM GMT+1","7","8","8","6","7","8","7","6","8","8","7","7","7","8","7","Yes"
"2019/10/21 1:30:05 PM GMT+1","9","8","8","6","8","9","7","7","7","7","6","7","5","5","6","Yes"
"2019/10/21 1:30:06 PM GMT+1","8","6","7","6","6","8","6","6","7","7","8","7","7","6","6",""
"2019/10/21 1:30:30 PM GMT+1","8","4","8","7","7","8","8","7","9","9","9","8","7","8","1","Yes"
"2019/10/21 1:30:36 PM GMT+1","9","7","8","7","7","8","8","8","9","7","7","7","5","9","2","Yes"
"2019/10/21 1:31:00 PM GMT+1","7","4","6","5","4","5","5","5","6","7","8","7","6","6","4","Yes"
"2019/10/21 1:31:03 PM GMT+1","7","8","7","7","6","8","7","6","8","8","9","8","5","6","5","Yes"
"2019/10/21 1:31:25 PM GMT+1","6","5","6","6","5","7","6","6","7","8","7","6","6","7","4","Yes"
"2019/10/21 1:31:29 PM GMT+1","7","6","7","6","6","7","7","7","9","7","8","8","5","7","1","Yes"
"2019/10/21 1:31:32 PM GMT+1","7","6","8","8","6","6","7","6","9","8","8","8","7","8","6","Yes"
"2019/10/21 1:31:47 PM GMT+1","7","6","7","6","8","8","7","8","9","9","9","8","8","8","3","Yes"
